Day Index,Symbol,Cap Type,Sector
90,HCLTECH,Largecap,I.T
90,PNB,Largecap,Bank
90,CANBK,Largecap,Bank
90,RECLTD,Largecap,Financials
90,MUTHOOTFIN,Largecap,Financials
90,MCX,Largecap,Financials
90,ALKEM,Largecap,Healthcare
90,BANKNIFTY,Smallcap,Indices
90,BSE,Largecap,Financials
90,AUBANK,Largecap,Bank
90,ABCAPITAL,Largecap,Financials
90,SBILIFE,Largecap,Financials
90,BDL,Largecap,Aerospace & Defence
90,HAL,Largecap,Aerospace & Defence
90,360ONE,Largecap,Financials
90,ANGELONE,Largecap,Financials
91,HINDUNILVR,Largecap,FMCG
91,GLENMARK,Largecap,Healthcare
91,INDIANB,Largecap,Bank
91,IDFCFIRSTB,Largecap,Bank
93,INFY,Largecap,I.T
93,MPHASIS,Largecap,I.T
93,HCLTECH,Largecap,I.T
93,OFSS,Largecap,I.T
93,TCS,Largecap,I.T
93,TECHM,Largecap,I.T
93,PERSISTENT,Largecap,I.T
93,LTM,Largecap,I.T
93,HAL,Largecap,Aerospace & Defence
95,TATAELXSI,Largecap,I.T
97,AUROPHARMA,Largecap,Healthcare
99,TECHM,Largecap,I.T
100,ALKEM,Largecap,Healthcare
101,COALINDIA,Largecap,Metals & Mining
103,OIL,Largecap,Energy
104,ETERNAL,Largecap,I.T
105,HINDPETRO,Largecap,Energy
105,BPCL,Largecap,Energy
106,UPL,Largecap,Chemicals
106,IDFCFIRSTB,Largecap,Bank
106,AUBANK,Largecap,Bank
106,SWIGGY,Largecap,I.T
107,BHARTIARTL,Largecap,Telecom-Service
107,DLF,Largecap,Realty
107,JUBLFOOD,Largecap,Consumer Discretionary
107,PRESTIGE,Largecap,Realty
108,RELIANCE,Largecap,Energy
108,ANGELONE,Largecap,Financials
108,PREMIERENE,Largecap,Services
108,WAAREEENER,Largecap,Industrials
109,TRENT,Largecap,Consumer Discretionary
110,GRASIM,Largecap,Textiles
110,BAJAJHLDNG,Largecap,Financials
110,DALBHARAT,Largecap,Building Materials
110,LTF,Largecap,Financials
110,NIFTY,Smallcap,Indices
110,BSE,Largecap,Financials
110,CAMS,Midcap,Financials
111,EXIDEIND,Largecap,Auto
111,HINDPETRO,Largecap,Energy
111,KOTAKBANK,Largecap,Bank
111,PIDILITIND,Largecap,Chemicals
111,TATAPOWER,Largecap,Power & Utilities
111,LT,Largecap,Realty
111,TMPV,Largecap,Auto
111,NESTLEIND,Largecap,FMCG
111,BRITANNIA,Largecap,FMCG
111,INDHOTEL,Largecap,Services
111,ICICIBANK,Largecap,Bank
111,ZYDUSLIFE,Largecap,Healthcare
111,ULTRACEMCO,Largecap,Building Materials
111,UNOMINDA,Largecap,Auto
111,IDEA,Largecap,Telecom-Service
111,BAJAJFINSV,Largecap,Financials
111,ADANIPOWER,Largecap,Power & Utilities
111,INDIGO,Largecap,Transportation
111,BANKNIFTY,Smallcap,Indices
111,DMART,Largecap,Consumer Discretionary
111,SBILIFE,Largecap,Financials
111,ICICIGI,Largecap,Financials
111,LODHA,Largecap,Realty
111,LICI,Largecap,Financials
112,FORCEMOT,Largecap,Auto
112,BAJFINANCE,Largecap,Financials
112,BHEL,Largecap,Industrials
112,JSWSTEEL,Largecap,Metals & Mining
112,TATASTEEL,Largecap,Metals & Mining
112,BPCL,Largecap,Energy
112,NESTLEIND,Largecap,FMCG
112,SHRIRAMFIN,Largecap,Financials
112,HAVELLS,Largecap,Consumer Discretionary
112,NMDC,Largecap,Metals & Mining
112,TVSMOTOR,Largecap,Auto
112,UNITDSPR,Largecap,FMCG
112,PETRONET,Largecap,Energy
112,ULTRACEMCO,Largecap,Building Materials
112,GMRAIRPORT,Largecap,Miscellaneous
112,INDUSTOWER,Largecap,Telecom
112,RBLBANK,Largecap,Bank
112,ICICIPRULI,Largecap,Financials
112,NAM-INDIA,Largecap,Financials
112,HDFCAMC,Largecap,Financials
112,NYKAA,Largecap,I.T
112,KAYNES,Largecap,Consumer Discretionary
114,LICHSGFIN,Largecap,Financials
114,ASHOKLEY,Largecap,Auto
114,CHOLAFIN,Largecap,Financials
114,IOC,Largecap,Energy
114,ADANIGREEN,Largecap,Power & Utilities
115,FORCEMOT,Largecap,Auto
115,SBIN,Largecap,Bank
115,SAIL,Largecap,Metals & Mining
115,HINDZINC,Largecap,Metals & Mining
115,JSWSTEEL,Largecap,Metals & Mining
115,MFSL,Largecap,Miscellaneous
115,TATASTEEL,Largecap,Metals & Mining
115,ASHOKLEY,Largecap,Auto
115,BRITANNIA,Largecap,FMCG
115,EICHERMOT,Largecap,Auto
115,ADANIENT,Largecap,Services
115,MOTHERSON,Largecap,Auto
115,HAVELLS,Largecap,Consumer Discretionary
115,IOC,Largecap,Energy
115,BANKBARODA,Largecap,Bank
115,BANKINDIA,Largecap,Bank
115,INDUSINDBK,Largecap,Bank
115,AXISBANK,Largecap,Bank
115,JINDALSTEL,Largecap,Metals & Mining
115,ZYDUSLIFE,Largecap,Healthcare
115,TVSMOTOR,Largecap,Auto
115,UNIONBANK,Largecap,Bank
115,DIVISLAB,Largecap,Healthcare
115,GMRAIRPORT,Largecap,Miscellaneous
115,PFC,Largecap,Financials
115,INDIANB,Largecap,Bank
115,FORTIS,Largecap,Healthcare
115,ADANIPORTS,Largecap,Transportation
115,BAJAJ-AUTO,Largecap,Auto
115,GODREJPROP,Largecap,Realty
115,PGEL,Midcap,Consumer Discretionary
